name,area_km2
Parque Avellaneda,4.654506210000172e-10
Constitución,2.0608733300002387e-10
Colegiales,2.2269870450000095e-10
La Paternal,2.1885514850000178e-10
Villa Santa Rita,2.1128183949998992e-10
Villa Soldati,8.661472575000165e-10
Coghlan,1.2560600349999366e-10
Villa del Parque,3.339833320000123e-10
Parque Chas,1.3569129600000672e-10
Villa General Mitre,2.1280010050000226e-10
Boedo,2.5664250999998544e-10
Chacarita,3.0696652049999096e-10
Villa Pueyrredón,3.2515809400000454e-10
Villa Devoto,6.24920260999992e-10
Agronomía,2.0801708799998032e-10
Villa Ortúzar,1.8301463650001285e-10
Villa Crespo,3.549967984999914e-10
Caballito,6.729384660000092e-10
Monte Castro,2.5831821850001076e-10
Floresta,2.28005730000001e-10
Versalles,1.3701797899998735e-10
Villa Real,1.2996845299999359e-10
Flores,8.460646650000289e-10
Balvanera,4.271109865000001e-10
Villa Luro,2.526742105000458e-10
Vélez Sársfield,2.3600440299999064e-10
Villa Urquiza,5.353328235000004e-10
San Cristóbal,2.001979134999977e-10
Liniers,4.3070026349998376e-10
Saavedra,5.494462649999813e-10
Núñez,4.3722044350003093e-10
Mataderos,7.284622495000207e-10
Parque Chacabuco,3.773176564999961e-10
Belgrano,7.884633045000079e-10
Palermo,1.536707600999999e-09
Almagro,3.978052990000107e-10
Monserrat,2.1552207799996096e-10
San Nicolás,2.247925604999928e-10
San Telmo,1.2007301799999522e-10
Parque Patricios,3.686458679999843e-10
Nueva Pompeya,4.948782019999759e-10
Villa Lugano,9.199666189999732e-10
Villa Riachuelo,4.280271620000317e-10
Barracas,7.894906914999932e-10
La Boca,5.429199045000273e-10
Puerto Madero,5.357801380000121e-10
Recoleta,6.401867724999799e-10
Retiro,4.4382247150003777e-10
